First Name,Last Name,Birthday,Email,Password
Остап,Даньків,2000-06-24,boleslavdankiv@example.com,+70BEdWj*A
Левко,Шаблій,1972-07-30,pfareniuk@example.net,zMP7LjhZ(^
Геннадій,Козаченко,1989-06-30,ostap08@example.net,(BUJ3*VkDu
Оксенія,Чорновіл,1992-02-05,iurchyshyndemian@example.net,3s7S5@En#%
Аліна,Баранник,1986-04-04,orest70@example.org,f_Eb2oLn!7
Варфоломій,Гуцуляк,1977-02-27,kdashenko@example.com,95Q3geec#X
Венедикт,Медведенко,1985-08-22,leoniakymchuk@example.net,)2h&43IjM2
Орхип,Гук,1995-12-15,dmytro17@example.net,*6rVHvVqj!
Йосип,Забарний,1975-11-28,amvrosii45@example.net,(8mQ!Iv1A3
Гордій,Василенко,1972-09-06,iustyna06@example.net,GmSZJkOh+5
Дан,Литвин,2004-06-15,petrohrechko@example.net,*@Q4UUxU3e
